Index,Month,Price,Production,Withdrawals,GlobalPrice,ExchangeRate,TempMax,TempAvg,Precipitation,Inflation
79,21-Mar,53.18,2817049,1854637,0.1581,48.57,30,27,101.5,4.1
80,21-Apr,53.37,2405327,1676556,0.1621,48.46,29,27,166,4.1
81,21-May,54.16,2064746,1735626,0.172,47.96,30,28,333.57,4.1
82,21-Jun,54.3,925481,1685414,0.1724,48.12,29,27,368.04,3.7
83,21-Jul,54.36,254997,1623398,0.1773,49.94,28,27,493.88,3.7
84,21-Aug,54.45,144667,1740712,0.1938,50.23,29,27,358.91,4.4
85,21-Sep,54.55,34337,935489,0.1934,50.14,29,26,516.3,4.2
86,21-Oct,55,1110203,1127305,0.1962,50.75,29,27,490.38,4
87,21-Nov,55.42,1437201,1239671,0.1975,50.36,29,27,238.89,3.7
88,21-Dec,55.68,1668835,1270792,0.1917,50.25,28,26,251.24,3.1
89,22-Jan,56.45,2169901,1995082,0.1845,51.24,28,26,99.7,3
90,22-Feb,62.39,2707374,2042604,0.1817,51.28,30,27,60.7,3
91,22-Mar,65.33,2238974,2029113,0.1911,52.07,30,27,224.1,4
92,22-Apr,67.23,1219338,1504863,0.1966,51.98,29,27,469.3,4.9
93,22-May,70.1,1192380,1789624,0.1928,52.36,30,28,238.5,5.4
94,22-Jun,72.67,622708,1421635,0.1877,53.57,29,27,285.2,6.1
95,22-Jul,85.6,343829,1354494,0.183,55.89,28,27,522.6,6.4
96,22-Aug,96.59,225036,587861,0.1807,55.75,29,27,285,6.3
97,22-Sep,97.86,782119,653106,0.1804,57.43,29,27,433.4,6.9
98,22-Oct,102.7,2007522,1297513,0.1829,58.82,29,27,596.5,7.7
99,22-Nov,101.07,1446898,992443,0.194,57.65,29,27,169.5,8
100,22-Dec,97.79,1603146,882287,0.2007,55.68,28,26,233.7,8.1
101,23-Jan,97.22,1272210,1127713,0.1998,54.99,28,26,406.91,8.7
102,23-Feb,98.34,1610065,902429,0.2121,54.78,29,26,175.4,8.6
103,23-Mar,98.06,1800101,934551,0.2098,54.8,31,27,64.9,7.6
104,23-Apr,98.86,1489215,1296228,0.2456,55.32,32,28,165.2,6.6
105,23-May,97.43,806884,692246,0.2574,55.73,31,28,537.8,6.1
106,23-Jun,96.22,756657.5,634228,0.2477,55.89,30,27,572.95,5.4
107,23-Jul,95.31,569482,592765,0.2401,54.92,29,27,722.95,4.7
108,23-Aug,94.28,482943.5,519388,0.242,56.16,29,27,505.1,5.3
109,23-Sep,93.08,44419,367692,0.2658,56.79,29,27,373.75,6.1
110,23-Oct,91.44,1542323,716481,0.2691,56.79,29,27,243.86,4.9
111,23-Nov,91.06,1316907,674464,0.2734,55.81,30,27,191.51,4.1
112,23-Dec,88.72,2325542,1109465,0.2229,55.59,30,27,49.8,3.9
113,24-Jan,86.96,1739690,1017046,0.2248,55.97,29,26,14.83,2.8
114,24-Feb,86.27,2122968,1029578,0.2333,56.06,30,27,13.23,3.4
115,24-Mar,85.4,2668661,1348478,0.2177,55.85,32,27,4.56,3.7
116,24-Apr,85.85,1476667,1042072,0.2069,56.95,33,29,22.9,3.8
117,24-May,85.54,590428,1177536,0.188,57.76,32,29,130.78,3.9
118,24-Jun,86.73,470766,1183388,0.1916,58.7,30,28,330.53,3.7
119,24-Jul,85.63,438518,946709,0.1936,58.48,28,27,427.55,4.4
120,24-Aug,84.66,722192,1439188,0.1843,57.19,29,27,248.22,3.3
